modo_transporte,tipo_combustible,valor
Water,Diesel_fuel_2013,280.8
Pipeline,Diesel_fuel_2013,0
Rail,Diesel_fuel_2013,537.4
HIGHWAY ,Liquified_petroleum_gas_2013,68.2
Light vehicles,Liquified_petroleum_gas_2013,47.9
Buses,Liquified_petroleum_gas_2013,0.6
Medium/heavy trucks,Liquified_petroleum_gas_2013,19.8
NONHIGHWAY,Liquified_petroleum_gas_2013,0
Air,Liquified_petroleum_gas_2013,0
Water,Liquified_petroleum_gas_2013,0
Pipeline,Liquified_petroleum_gas_2013,0
Rail,Liquified_petroleum_gas_2013,0
HIGHWAY ,Jet_fuel_2013,0
Light vehicles,Jet_fuel_2013,0
Buses,Jet_fuel_2013,0
Medium/heavy trucks,Jet_fuel_2013,0
NONHIGHWAY,Jet_fuel_2013,2016.1
Air,Jet_fuel_2013,2016.1
Water,Jet_fuel_2013,0
Pipeline,Jet_fuel_2013,0
Rail,Jet_fuel_2013,0
HIGHWAY ,Residual_fuel_oil_2013,0
Light vehicles,Residual_fuel_oil_2013,0
Buses,Residual_fuel_oil_2013,0
Medium/heavy trucks,Residual_fuel_oil_2013,0
NONHIGHWAY,Residual_fuel_oil_2013,580.4
Air,Residual_fuel_oil_2013,0
Water,Residual_fuel_oil_2013,580.4
Pipeline,Residual_fuel_oil_2013,0
Rail,Residual_fuel_oil_2013,0
HIGHWAY ,Natural_gas_2013,20.3
Light vehicles,Natural_gas_2013,0
Buses,Natural_gas_2013,20.3
Medium/heavy trucks,Natural_gas_2013,0
NONHIGHWAY,Natural_gas_2013,888.3
Air,Natural_gas_2013,0
Water,Natural_gas_2013,0
Pipeline,Natural_gas_2013,888.3
Rail,Natural_gas_2013,0
HIGHWAY ,Electricity_2013,0.7
Light vehicles,Electricity_2013,0
Buses,Electricity_2013,0.7
Medium/heavy trucks,Electricity_2013,0
NONHIGHWAY,Electricity_2013,325.9
Air,Electricity_2013,0
Water,Electricity_2013,0
Pipeline,Electricity_2013,252.5
Rail,Electricity_2013,73.4
HIGHWAY ,Total_2013,21309.9
Light vehicles,Total_2013,15182
Buses,Total_2013,204.1
Medium/heavy trucks,Total_2013,5923.8
NONHIGHWAY,Total_2013,4843.5
Air,Total_2013,2037
Water,Total_2013,1054.9
Pipeline,Total_2013,1140.8
Rail,Total_2013,610.8
HIGHWAY ,Gasoline_2014,15653.4
Light vehicles,Gasoline_2014,15039
Buses,Gasoline_2014,9.2
Medium/heavy trucks,Gasoline_2014,605.2
NONHIGHWAY,Gasoline_2014,217.8
Air,Gasoline_2014,24.7
Water,Gasoline_2014,193.1
Pipeline,Gasoline_2014,0
Rail,Gasoline_2014,0
